CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,1,MANUFACTURING,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,600,20,3.3333333333333335,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,2,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,INDEPENDENT UNION,NA,152,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Independent,All others,Services,NA
NA,3,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,111,52,46.846846846846844,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,4,CONSTRUCTION,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,510,405,79.41176470588235,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Industry,High density
NA,5,MANUFACTURING,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,184,146,79.34782608695652,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,6,NA,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,190,19,10,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,7,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,50,50,100,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,8,CONSTRUCTION,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,220,35,15.909090909090908,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Industry,Low density
NA,9,"ARTS, ENTERTAINMENT AND RECREATION",NCR,2020,RANK AND FILE,LOCAL/CHAPTER,7000,1500,21.428571428571427,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
0065,10,MANUFACTURING,NCR,2020,RANK AND FILE,"INDEPENDENT
UNION",25,24,96,Luzon,0065_A1+,A1+ MULTINATIONAL PACKAGING INC.,MANUFACTURING,A1+ MULTINATIONAL PACKAGING INC. EMPLOYEES UNION,2021-01-13T00:00:00Z,2026-01-12T00:00:00Z,32,RANK AND FILE,2021,5,With CBA,1,1,1,1,RANK-AND-FILE,Independent,Manufacturing,Industry,High density
NA,11,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,15,38.46153846153847,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
NA,12,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,17,43.58974358974359,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,All others,Services,Low density
