CBA_ID,UNION_ID,PSIC,REGION,EBU_YEAR_REG,SCOPE,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp
NA,1,MANUFACTURING,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,600,20,0.033333333,Luzon
NA,3,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,111,52,0.46846846846846846,Luzon
NA,4,CONSTRUCTION,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,510,405,0.7941176470588235,Luzon
NA,5,MANUFACTURING,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,184,146,0.7934782608695652,Luzon
NA,6,NA,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,190,19,0.1,Luzon
NA,7,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,50,50,1,Luzon
NA,8,CONSTRUCTION,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,220,35,0.1590909090909091,Luzon
NA,9,"ARTS, ENTERTAINMENT AND RECREATION",NCR,2020,RANK AND FILE,LOCAL/CHAPTER,7000,1500,0.21428571428571427,Luzon
0065,10,MANUFACTURING,NCR,2020,RANK AND FILE,"INDEPENDENT
UNION",25,24,0.96,Luzon
NA,11,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,15,0.38461538461538464,Luzon
NA,12,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,17,0.4358974358974359,Luzon
NA,13,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,13,0.3333333333333333,Luzon
NA,14,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,15,0.38461538461538464,Luzon
NA,15,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,19,0.48717948717948717,Luzon
NA,16,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,18,0.46153846153846156,Luzon
NA,17,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,12,0.3076923076923077,Luzon
NA,18,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,18,0.46153846153846156,Luzon
NA,19,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,19,0.48717948717948717,Luzon
NA,20,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,14,0.358974359,Luzon
NA,21,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,10,0.2564102564102564,Luzon
NA,22,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,200,25,0.125,Luzon
NA,23,ADMINISTRATIVE  AND SUPPORT SERVICE ACTIVITIES,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,100,100,1,Luzon
NA,24,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,1,Luzon
NA,25,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,1,Luzon
NA,26,TRANSPORT AND STORAGE,NCR,2020,RANK AND FILE,LOCAL/CHAPTER,39,39,1,Luzon
NA,27,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,1000,344,0.344,Luzon
NA,28,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",1070,378,0.3532710280373832,Luzon
NA,29,"ARTS,  ENTERTAINMENT AND RECREATION",NCR,2019,RANK AND FILE,LOCAL/CHAPTER,50,11,0.22,Luzon
"0735
",30,"ARTS, ENTERTAINMENT AND RECREATION",NCR,2019,RANK AND FILE,LOCAL/CHAPTER,1902,1902,1,Luzon
NA,31,TRANSPORT AND STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,615,450,0.7317073170731707,Luzon
1036,32,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,89,85,0.9550561797752809,Luzon
NA,33,MANUFACTURING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",729,411,0.5637860082304527,Luzon
NA,34,CONSTRUCTION,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,40,20,0.5,Luzon
NA,35,"ARTS, ENTERTAINMENT  AND RECREATION",NCR,2019,RANK AND FILE,LOCAL/CHAPTER,1500,676,0.45066666666666666,Luzon
1076,36,HUMAN HEALTH AND SOCIAL WORK  ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,1859,1500,0.8068854222700377,Luzon
NA,37,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",305,214,0.7016393442622951,Luzon
NA,38,CONSTRUCTION,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",165,165,1,Luzon
NA,39,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,43,43,1,Luzon
NA,40,CONSTRUCTION,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,1002,50,0.0499002,Luzon
NA,42,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,150,15,0.1,Luzon
NA,43,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,56,17,0.30357142857142855,Luzon
NA,44,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,58,19,0.3275862068965517,Luzon
NA,45,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,104,52,0.5,Luzon
NA,46,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,323,76,0.23529411764705882,Luzon
NA,47,"ARTS, ENTERTAINMENT  AND RECREATION",NCR,2019,SUPERVISORY,LOCAL/CHAPTER,3208,52,0.016209476309226933,Luzon
NA,48,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,89,85,0.9550561797752809,Luzon
NA,49,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,290,20,0.068965517,Luzon
NA,50,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,110,40,0.36363636363636365,Luzon
NA,51,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,500,100,0.2,Luzon
NA,52,MINING AND  QUARRYING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,94,56,0.5957446808510638,Luzon
NA,53,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,50,13,0.26,Luzon
NA,54,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,140,15,0.10714285714285714,Luzon
NA,55,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,39,15,0.38461538461538464,Luzon
0816,56,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,62,39,0.6290322580645161,Luzon
NA,57,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,53,12,0.22641509433962265,Luzon
NA,58,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,104,93,0.8942307692307693,Luzon
NA,59,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,34,15,0.4411764705882353,Luzon
NA,60,ACCOMODATION AND FOOD SERVICE  ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,28,8,0.2857142857142857,Luzon
NA,61,MINING AND  QUARRYING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",22,10,0.45454545454545453,Luzon
"0390
",62,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT,30,20,0.6666666666666666,Luzon
NA,63,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,390,20,0.051282051,Luzon
0748,64,MANUFACTURING,NCR,2019,RANK AND FILE,INDEPENDENT UNION,148,93,0.6283783783783784,Luzon
"0711
",65,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,NCR,2019,RANK AND FILE,INDEPENDENT UNION,70,15,0.21428571428571427,Luzon
"0807
",66,MANUFACTURING,NCR,2019,RANK AND FILE,"INDEPENDENT
UNION",130,110,0.8461538461538461,Luzon
NA,67,TRANSPORT AND  STORAGE,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,58,19,0.3275862068965517,Luzon
NA,68,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,210,25,0.11904761904761904,Luzon
NA,69,MANUFACTURING,NCR,2019,RANK AND FILE,LOCAL/CHAPTER,140,94,0.6714285714285714,Luzon
